CourseName,Unit,ReviewNumber,AvgStar,Level,Results,course_ID,combined_features
Neuroscience and Neuroimaging Specialization,Johns Hopkins University,910,4.7,Intermediate level,"Learn about fMRI data design, structure and acquisition.
Familiarize yourself with fMRI Artifacts and types of noise.
Learn how to read/write images of the brain in NIfTI format.
Learn about Magnetic Resonance Spectroscopy.
",468,"Neuroscience and Neuroimaging Specialization Johns Hopkins University Intermediate level Learn about fMRI data design, structure and acquisition.
Familiarize yourself with fMRI Artifacts and types of noise.
Learn how to read/write images of the brain in NIfTI format.
Learn about Magnetic Resonance Spectroscopy.
"
Data Science as a Field,University of Colorado Boulder,29,4.3,Intermediate level,"By taking this course, you will be able explain what data science is and identify the key disciplines involved.
You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.
You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.
",164,"Data Science as a Field University of Colorado Boulder Intermediate level By taking this course, you will be able explain what data science is and identify the key disciplines involved.
You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.
You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.
"
NLP: Twitter Sentiment Analysis,Coursera Project Network,354,4.6,Beginner level,"Create a pipeline to remove stop-words, punctuation, and perform tokenization    
Understand the theory and intuition behind Naive Bayes classifiers   
Train a Naive Bayes Classifier and assess its performance   
",456,"NLP: Twitter Sentiment Analysis Coursera Project Network Beginner level Create a pipeline to remove stop-words, punctuation, and perform tokenization    
Understand the theory and intuition behind Naive Bayes classifiers   
Train a Naive Bayes Classifier and assess its performance   
"
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,18504,4.9,Beginner level,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression
",580,"Supervised Machine Learning: Regression and Classification DeepLearning.AI Beginner level Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression
"
MLOps | Machine Learning Operations Specialization,Duke University,120,3.9,Advanced level,"Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.
Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.
Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.
Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features.
",410,"MLOps | Machine Learning Operations Specialization Duke University Advanced level Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.
Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.
Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.
Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features.
"
Data Ecosystem,Tableau Learning Partner,46,4.7,Beginner level," Describe the purpose and applications of tabular data, databases, data warehouses, data lakes, and ETLs. 
 Describe the importance of data quality and data governance in relation to data management. 
 Identify the principles that form the foundation of modern data architecture. 
",144,"Data Ecosystem Tableau Learning Partner Beginner level  Describe the purpose and applications of tabular data, databases, data warehouses, data lakes, and ETLs. 
 Describe the importance of data quality and data governance in relation to data management. 
 Identify the principles that form the foundation of modern data architecture. 
"
R Programming,Johns Hopkins University,22181,4.5,Intermediate level,"Understand critical programming language concepts
Configure statistical programming software
Make use of R loop functions and debugging tools
Collect detailed information using R profiler
",521,"R Programming Johns Hopkins University Intermediate level Understand critical programming language concepts
Configure statistical programming software
Make use of R loop functions and debugging tools
Collect detailed information using R profiler
"
Machine Learning on Google Cloud Specialization,Google Cloud,8457,4.6,Intermediate level,"Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models
Implement machine learning models using Keras and TensorFlow 2.x
Implement machine learning in the enterprise best practices
Describe how to perform exploratory data analysis and improve data quality
",424,"Machine Learning on Google Cloud Specialization Google Cloud Intermediate level Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models
Implement machine learning models using Keras and TensorFlow 2.x
Implement machine learning in the enterprise best practices
Describe how to perform exploratory data analysis and improve data quality
"
SQL: A Practical Introduction for Querying Databases,IBM,252,4.6,Beginner level,"Analyze data within a database using SQL.
Create a relational database on Cloud and work with tables.
Write SQL statements including SELECT, INSERT, UPDATE, and DELETE.
Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins. 
",549,"SQL: A Practical Introduction for Querying Databases IBM Beginner level Analyze data within a database using SQL.
Create a relational database on Cloud and work with tables.
Write SQL statements including SELECT, INSERT, UPDATE, and DELETE.
Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins. 
"
Google Advanced Data Analytics Professional Certificate,Google,2523,4.8,Advanced level,"Explore the roles of data professionals within an organization 
Create data visualizations and apply statistical methods to investigate data
Build regression and machine learning models to analyze and interpret data
Communicate insights from data analysis to stakeholders
",311,"Google Advanced Data Analytics Professional Certificate Google Advanced level Explore the roles of data professionals within an organization 
Create data visualizations and apply statistical methods to investigate data
Build regression and machine learning models to analyze and interpret data
Communicate insights from data analysis to stakeholders
"
Get Started with Python,Google,926,4.8,Advanced level,"Explain how Python is used by data professionals 
Explore basic Python building blocks, including syntax and semantics
Understand loops, control statements, and string manipulation
Use data structures to store and organize data 
",302,"Get Started with Python Google Advanced level Explain how Python is used by data professionals 
Explore basic Python building blocks, including syntax and semantics
Understand loops, control statements, and string manipulation
Use data structures to store and organize data 
"
Health Data Science Foundation,University of Illinois at Urbana-Champaign,0,0.0,Advanced level,"Machine Learning, Health Data Processing
",319,"Health Data Science Foundation University of Illinois at Urbana-Champaign Advanced level Machine Learning, Health Data Processing
"
Essential Causal Inference Techniques for Data Science,Coursera Project Network,34,4.5,Beginner level,"Learn the limitations of AB testing and why causal inference techniques can be powerful.
Understand the intuition behind and how to implement the four main causal inference techniques in R.
Explore newer methods at the intersection of causal inference and machine learning and implement them in R.
",231,"Essential Causal Inference Techniques for Data Science Coursera Project Network Beginner level Learn the limitations of AB testing and why causal inference techniques can be powerful.
Understand the intuition behind and how to implement the four main causal inference techniques in R.
Explore newer methods at the intersection of causal inference and machine learning and implement them in R.
"
Regression Analysis: Simplify Complex Data Relationships,Google,293,4.7,Advanced level,"Investigate relationships in datasets
Identify regression model assumptions 
Perform linear and logistic regression using Python
Practice model evaluation and interpretation
",526,"Regression Analysis: Simplify Complex Data Relationships Google Advanced level Investigate relationships in datasets
Identify regression model assumptions 
Perform linear and logistic regression using Python
Practice model evaluation and interpretation
"
Statistical Inference for Estimation in Data Science,University of Colorado Boulder,61,4.1,Intermediate level,"Identify characteristics of “good” estimators and be able to compare competing estimators.
Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.
Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.
",573,"Statistical Inference for Estimation in Data Science University of Colorado Boulder Intermediate level Identify characteristics of “good” estimators and be able to compare competing estimators.
Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.
Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.
"
"Sequences, Time Series and Prediction",DeepLearning.AI,4968,4.7,Intermediate level,"Solve time series and forecasting problems in TensorFlow
Prepare data for time series learning using best practices
Explore how RNNs and ConvNets can be used for predictions
Build a sunspot prediction model using real-world data
",554,"Sequences, Time Series and Prediction DeepLearning.AI Intermediate level Solve time series and forecasting problems in TensorFlow
Prepare data for time series learning using best practices
Explore how RNNs and ConvNets can be used for predictions
Build a sunspot prediction model using real-world data
"
SAS Visual Business Analytics Professional Certificate,SAS,940,4.7,Beginner level,"How to explore data using SAS Visual Analytics
How to create interactive reports using SAS Visual Analytics
How to prepare data using SAS Data Studio
",539,"SAS Visual Business Analytics Professional Certificate SAS Beginner level How to explore data using SAS Visual Analytics
How to create interactive reports using SAS Visual Analytics
How to prepare data using SAS Data Studio
"
Python Project for Data Science,IBM,3960,4.5,Intermediate level,"Play the role of a Data Scientist / Data Analyst working on a real project.
Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. 
Apply Python fundamentals, Python data structures, and working with data in Python.
Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.
",513,"Python Project for Data Science IBM Intermediate level Play the role of a Data Scientist / Data Analyst working on a real project.
Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. 
Apply Python fundamentals, Python data structures, and working with data in Python.
Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.
"
Foundations of Business Intelligence,Google,952,4.7,Advanced level,"Understand common careers and industries that use BI
Investigate the impact data can have on business decision-making
Explain the important role that BI professionals have in businesses
Develop a BI project plan 
",267,"Foundations of Business Intelligence Google Advanced level Understand common careers and industries that use BI
Investigate the impact data can have on business decision-making
Explain the important role that BI professionals have in businesses
Develop a BI project plan 
"
"DevOps, DataOps, MLOps",Duke University,49,3.8,Advanced level,"Build operations pipelines using DevOps, DataOps, and MLOps
Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)
Build and deploy machine learning models in a production environment using MLOps tools and platforms.
",221,"DevOps, DataOps, MLOps Duke University Advanced level Build operations pipelines using DevOps, DataOps, and MLOps
Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)
Build and deploy machine learning models in a production environment using MLOps tools and platforms.
"
"Decisions, Decisions: Dashboards and Reports",Google,550,4.8,Advanced level,"Design BI visualizations
Practice using BI reporting and dashboard tools
Create presentations to share key BI insights with stakeholders
Develop professional materials for your job search
",198,"Decisions, Decisions: Dashboards and Reports Google Advanced level Design BI visualizations
Practice using BI reporting and dashboard tools
Create presentations to share key BI insights with stakeholders
Develop professional materials for your job search
"
The Nuts and Bolts of Machine Learning,Google,273,4.8,Advanced level,"Identify characteristics of the different types of machine learning 
Prepare data for machine learning models 
Build and evaluate supervised and unsupervised learning models using Python
Demonstrate proper model and metric selection for a machine learning algorithm
",593,"The Nuts and Bolts of Machine Learning Google Advanced level Identify characteristics of the different types of machine learning 
Prepare data for machine learning models 
Build and evaluate supervised and unsupervised learning models using Python
Demonstrate proper model and metric selection for a machine learning algorithm
"
Python Packages for Data Science,University of Colorado Boulder,32,4.4,Intermediate level,"By successfully completing this course, you will be able to use Python pacakges developed for data science.
You will learn how to use Numpy and Pandas to manipulate data.
You will learn how to use Matplotlib and Seaborn to develop data visualizations.
",512,"Python Packages for Data Science University of Colorado Boulder Intermediate level By successfully completing this course, you will be able to use Python pacakges developed for data science.
You will learn how to use Numpy and Pandas to manipulate data.
You will learn how to use Matplotlib and Seaborn to develop data visualizations.
"
Natural Language Processing with Probabilistic Models,DeepLearning.AI,1657,4.7,Intermediate level,"Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
",463,"Natural Language Processing with Probabilistic Models DeepLearning.AI Intermediate level Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
"
Generative AI Fundamentals Specialization,IBM,245,4.7,Beginner level,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.
Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.
Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.
Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.
",285,"Generative AI Fundamentals Specialization IBM Beginner level Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.
Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.
Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.
Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.
"
Reinforcement Learning Specialization,University of Alberta,3166,4.8,Intermediate level,"Build a Reinforcement Learning system for sequential decision making.
Understand the space of RL algorithms (Temporal- Difference learning, Monte Carlo, Sarsa, Q-learning, Policy Gradients, Dyna, and more).
Understand how to formalize your task as a Reinforcement Learning problem, and how to begin implementing a solution.  
Understand how RL fits under the broader umbrella of machine learning, and how it complements deep learning, supervised and unsupervised learning 
",529,"Reinforcement Learning Specialization University of Alberta Intermediate level Build a Reinforcement Learning system for sequential decision making.
Understand the space of RL algorithms (Temporal- Difference learning, Monte Carlo, Sarsa, Q-learning, Policy Gradients, Dyna, and more).
Understand how to formalize your task as a Reinforcement Learning problem, and how to begin implementing a solution.  
Understand how RL fits under the broader umbrella of machine learning, and how it complements deep learning, supervised and unsupervised learning 
"
AutoML tools for data science,Coursera Project Network,0,0.0,Beginner level,"Learn how to use different AutoML tools for efficient exploratory data analysis.
",43,"AutoML tools for data science Coursera Project Network Beginner level Learn how to use different AutoML tools for efficient exploratory data analysis.
"
Statistical Inference and Hypothesis Testing in Data Science Applications,University of Colorado Boulder,37,4.7,Intermediate level,"Define a composite hypothesis and the level of significance for a test with a composite null hypothesis.
Define a test statistic, level of significance, and the rejection region for a hypothesis test. Give the form of a rejection region.
Perform tests concerning a true population variance.
Compute the sampling distributions for the sample mean and sample minimum of the exponential distribution.
",572,"Statistical Inference and Hypothesis Testing in Data Science Applications University of Colorado Boulder Intermediate level Define a composite hypothesis and the level of significance for a test with a composite null hypothesis.
Define a test statistic, level of significance, and the rejection region for a hypothesis test. Give the form of a rejection region.
Perform tests concerning a true population variance.
Compute the sampling distributions for the sample mean and sample minimum of the exponential distribution.
"
Machine Learning and Reinforcement Learning in Finance Specialization,New York University,741,3.7,Intermediate level,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  
Describe linear regression and classification models and methods of their evaluation  
Explain how Reinforcement Learning is used for stock trading  
Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  
",419,"Machine Learning and Reinforcement Learning in Finance Specialization New York University Intermediate level Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  
Describe linear regression and classification models and methods of their evaluation  
Explain how Reinforcement Learning is used for stock trading  
Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  
"
Fundamentals of Machine Learning for Healthcare,Stanford University,408,4.8,Beginner level,"Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.
Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.
Learn important approaches for leveraging data to train, validate, and test machine learning models.
Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.
",276,"Fundamentals of Machine Learning for Healthcare Stanford University Beginner level Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.
Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.
Learn important approaches for leveraging data to train, validate, and test machine learning models.
Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.
"
SQL for Data Science,"University of California, Davis",16036,4.6,Beginner level,"Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.
Use SQL commands to filter, sort, and summarize data.
Create an analysis table from multiple queries using the UNION operator.
Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.
",546,"SQL for Data Science University of California, Davis Beginner level Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.
Use SQL commands to filter, sort, and summarize data.
Create an analysis table from multiple queries using the UNION operator.
Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.
"
